id,name,type,url,description
il003,CCSI Foundation — Illinois Cancer Patient Grants,financial,https://cancercarespecialists.org/ccsi-foundation,"Financial assistance grants for Illinois cancer and blood disorder patients covering medical expenses, transportation, and daily living costs."
oh003,Ohio Partners for Cancer Control — Resource Directory,financial,https://ohiocancerpartners.org/survivorship-resources,"Comprehensive statewide directory of financial support, lodging, transportation, and emotional support resources for Ohio cancer patients."
mi003,Michigan DHHS — Cancer Resources Navigator,financial,https://www.michigan.gov/mdhhs/keep-mi-healthy/chronicdiseases/cancer/helping-mi-residents,"Statewide resource navigator connecting Michigan cancer patients to financial assistance, transportation, and support programs by cancer type."
nc003,North Carolina Cancer Assistance Network,financial,https://www.dph.ncdhhs.gov/programs/chronic-disease-and-injury/cancer-prevention-and-control-branch,"Statewide network connecting North Carolina cancer patients to local financial assistance, transportation, and community support programs."
va003,Virginia Cancer Coalition — Patient Support Network,financial,https://cancercoalitionofvirginia.org,Statewide patient support network connecting Virginia cancer patients to financial assistance and local resources.
pa003,Pennsylvania Cancer Coalition — Patient Resources,financial,https://www.pacancercoalition.org,Statewide cancer patient navigation and resource referrals for Pennsylvania residents with any cancer diagnosis.
fl003,Florida Cancer Connect — Resource Navigator,financial,https://www.cancer.org/about-us/local/florida.html,"Statewide navigator connecting Florida cancer patients with local financial assistance, transportation, and support programs."
ny002,New York Cancer Resource Alliance,financial,https://www.cancer.org/about-us/local/new-york.html,"Connects New York cancer patients to financial assistance, transportation, housing, and support programs throughout the state."
ga002,Georgia Cancer Coalition — Patient Navigation,financial,https://www.georgiacancer.org,Patient navigation and financial assistance referrals for Georgia cancer patients through the state cancer coalition.
wa003,Fred Hutchinson Cancer Center — Financial Assistance,financial,https://www.fredhutch.org/en/patient-care/patient-services/insurance-and-billing/financial-assistance.html,"Financial assistance programs for Washington State cancer patients receiving care at Fred Hutch, covering treatment costs and living expenses."
tn003,Tennessee Cancer Coalition — Patient Resources,financial,https://www.tn.gov/health/health-program-areas/fhw/tennessee-comprehensive-cancer-control-program.html,Statewide cancer patient navigation and financial assistance referrals for Tennessee residents with any cancer diagnosis.
az002,Arizona Cancer Foundation — Patient Assistance,financial,https://azforcancer.org/,Financial assistance and patient support programs for Arizona cancer patients facing financial hardship during treatment.
co002,Colorado Cancer Coalition — Patient Support,financial,https://coloradocancercoalition.org,Patient navigation and financial assistance referrals for Colorado cancer patients through the state cancer coalition network.
mn003,Minnesota Cancer Alliance — Financial Navigation,financial,https://www.mncanceralliance.org,Financial navigation and resource referrals for Minnesota cancer patients connecting them to state and local support programs.
bc006,Tigerlily Foundation — Young Women's Breast Cancer Support,financial,https://www.tigerlilyfoundation.org,"Financial assistance, advocacy, and peer support specifically for young women diagnosed with breast cancer, focusing on those under 40."
ll003,Blood Cancer United — Financial Assistance,financial,https://bloodcancerunited.org/financial-assistance,"Emergency financial relief, mortgage and rent assistance, and resource navigation for blood cancer patients and their families."
lc003,American Lung Association — Lung Cancer Resources,financial,https://www.lung.org/lung-health-diseases/lung-disease-lookup/lung-cancer/treatment/assistance,"Treatment assistance navigation, financial resource referrals, and support services for lung cancer patients across the United States."
panc003,National Pancreatic Cancer Foundation — Patient Aid,financial,https://www.npcf.us,"Financial assistance for daily living expenses, utilities, and other bills for pancreatic cancer patients in active treatment."
oc003,Clearity Foundation — Ovarian Cancer Support,financial,https://www.clearityfoundation.org,Personalized support services and financial assistance navigation for ovarian cancer patients pursuing molecular testing and treatment options.
brain002,Mia's Miracles — Pediatric Brain Cancer Grants,pediatric,"https://mias-miracles.org/programs-partners/mias-blessings/#:~:text=OUR%20ALLIANCE%20WITH%20PATIENT%20ADVOCATE,MORE%20PROGRAMS%20THIS%20WAY!","One-time grants of up to $2,000 for children under 18 with brain cancer covering transportation, lodging, utilities, childcare, and nutrition."
cer001,Cervivor — Cervical Cancer Patient Community,mental,https://www.cervivor.org,"Peer support network, financial resource navigation, and advocacy for cervical cancer patients and survivors across the United States."
kid003,KidneyCare — Kidney Cancer Assistance,transportation,https://www.kidneycancer.org/get-support/financial-assistance/,financial resource navigation for kidney cancer patients who need help
mel002,AIM at Melanoma Foundation — Patient Support,financial,https://www.aimatmelanoma.org,"Financial assistance navigation, clinical trial matching, and peer support for melanoma patients and families across the United States."
thy002,Thyroid Cancer Survivors Association (ThyCa) — Grants,financial,https://www.thyca.org,Small financial assistance grants and resource navigation for thyroid cancer patients facing financial hardship during treatment.
uter003,Gynecologic Cancer Foundation — Patient Resources,financial,https://www.foundationforwomenscancer.org/resources,"Financial assistance navigation and educational support for women with uterine, endometrial, and other gynecologic cancers."
ak002,Alaska Cancer Program — Patient Financial Support,financial,https://dhss.alaska.gov/dph/chronic/pages/cancer/default.aspx,Financial assistance and patient navigation for Alaska cancer patients through the state's comprehensive cancer control program.
de002,Delaware Cancer Consortium — Financial Assistance,financial,https://dhss.delaware.gov/dhss/dph/cancer.html,Financial assistance referrals and patient navigation for Delaware cancer patients connecting them to state and local support programs.
hi002,Hawaii Cancer Consortium — Financial Navigation,financial,https://health.hawaii.gov/cancer/,Financial assistance navigation and local resource connections for Hawaii cancer patients across all islands.
ia002,Iowa Cancer Consortium — Financial Assistance,financial,https://canceriowa.org/,Financial assistance referrals and patient navigation connecting Iowa cancer patients to state and community support programs.
md002,Maryland Cancer Fund — Patient Grants,financial,https://www.findhelp.org/maryland-department-of-health-(mdh)--baltimore-md--maryland-cancer-fund/5075062917431296,Direct financial assistance grants for Maryland cancer patients who cannot afford treatment-related costs through the state cancer fund.
mt002,Montana Cancer Coalition — Patient Support,financial,https://mtcancercoalition.org,Patient navigation and financial assistance referrals for Montana cancer patients through the state's cancer coalition network.
nv002,Nevada Cancer Coalition — Patient Resources,financial,https://nevadacancercoalition.org,Financial assistance navigation and patient support resources for Nevada cancer patients through the state cancer coalition.
dc002,DC Cancer Consortium — Financial Assistance,financial,https://dchealth.dc.gov/service/cancer,Financial assistance referrals and patient navigation for Washington D.C. cancer patients connecting them to local and national support programs.
wy002,Wyoming Cancer Program — Financial Navigation,financial,https://www.wsos-oncology.org/resources/financial-advocacy-patient-assistance,Patient navigation and financial assistance referrals for Wyoming cancer patients through the state health department cancer program.
la003,Louisiana Cancer Prevention & Control — Patient Support,financial,https://ldh.la.gov/cancer,Patient navigation and financial assistance referrals for Louisiana cancer patients through the state's cancer prevention program.
ks003,Kansas Cancer Partnership — Financial Resources,financial,https://www.kdheks.gov/cancer,Financial assistance navigation and patient support for Kansas cancer patients through the state cancer partnership program.
id003,Idaho Cancer Coalition — Patient Navigation,financial,https://healthandwelfare.idaho.gov/health-wellness/diseases-conditions/cancer-idaho,Patient navigation and financial assistance referrals for Idaho cancer patients connecting them to state and community resources.
blad003,Urology Care Foundation — Bladder Cancer Resources,financial,https://www.urologyhealth.org/urology-a-z/n/non-muscle-invasive-bladder-cancer,"Educational resources, financial assistance navigation, and patient support for bladder cancer patients across the United States."
hn003,Oral Cancer Foundation — Patient Support & Resources,financial,https://oralcancerfoundation.org,"Financial assistance navigation, peer support, and educational resources for head, neck, and oral cancer patients."
stom003,Gastric Cancer Foundation — Patient Resources,financial,https://gastriccancer.org/,"Financial assistance navigation, research support, and educational resources for stomach and gastric cancer patients."
liv003,Hepatitis B Foundation — Liver Cancer Patient Support,financial,https://www.hepb.org/patient-support,"Patient support resources and financial assistance navigation for liver cancer patients, including those with hepatitis B-related liver cancer."
eso003,Gastroesophageal Junction Cancer Alliance — Support,mental,https://ecan.org/,Peer support network and financial resource navigation for esophageal and gastroesophageal junction cancer patients.
test003,Livestrong — Testicular Cancer Survivor Resources,financial,https://www.livestrong.org/we-can-help/young-adults,"Benefits navigation, financial assistance guidance, and survivor support specifically useful for testicular cancer patients and young adult survivors."
blood002,Aplastic Anemia & MDS International Foundation,financial,https://www.aamds.org/support,"Financial assistance, peer support, and educational resources for patients with blood cancers including MDS, aplastic anemia, and related conditions."
meso002,Mesothelioma Applied Research Foundation — Travel Grants,financial,https://www.curemeso.org,"Travel grants up to $1,000 for mesothelioma patients traveling to consult with specialists or participate in clinical trials, plus patient support resources."
meso003,Mesothelioma Research Foundation of America — Patient Help,financial,https://www.mesorfa.org,"Free information, practical assistance, and resource navigation for mesothelioma patients and their families facing financial hardship."
pc003,ZERO360 — Prostate Cancer Patient Support,financial,https://zerocancer.org/help-and-support/financial-resources,"Free case managers help prostate cancer patients navigate insurance, find financial assistance programs, and connect to emotional support services."
pc004,PAN Foundation — Prostate Cancer Medication Fund,medication,https://www.panfoundation.org/disease-funds/prostate-cancer,"Financial assistance up to $5,000 per year for prostate cancer medication copays for underinsured patients. Fund opens and closes periodically — check site for current status."
brain005,American Brain Tumor Association — Glenn Garcelon Fund,financial,https://www.abta.org/financial-assistance,"Direct financial assistance for primary brain and CNS tumor patients to help cover mortgage, medical bills, utilities, and other expenses during treatment."
brain003,Musella Foundation — Brain Tumor Drug Copay Program,medication,https://braintumorcopays.org,"Drug copay assistance grants up to $5,000 for brain tumor patients who cannot afford their prescribed medications."
brain004,Mission4Maureen — Brain Cancer Financial Assistance,financial,https://mission4maureen.org,"Financial assistance grants up to $1,500 for brain cancer and brain tumor patients nationwide to help cover mortgage, rent, utilities, and other non-medical expenses."
sar003,Sarcoma Alliance — Specialist Visit Reimbursement,financial,https://sarcomaalliance.org/financial-assistance,"Reimbursement up to $1,000 for sarcoma patients traveling to see a sarcoma specialist for the first time, helping cover travel and consultation costs."
sar004,Sarcoma Foundation of America — Jordan's Dream Fund,financial,https://curesarcoma.org/support-resources/information-links,"Travel and lodging grants for sarcoma patients participating in clinical trials, helping cover transportation, airfare, and lodging costs."
mel004,Melanoma Research Foundation — Financial Resources,financial,https://melanoma.org/patients-caregivers/find-support/financial-assistance,"Comprehensive hub connecting melanoma patients to grants, copay assistance, travel programs, and financial assistance organizations nationwide."
mel003,AIM at Melanoma Foundation — Patient Resources,mental,https://www.aimatmelanoma.org,"Patient resources, financial assistance navigation, and support programs for melanoma patients facing financial hardship during treatment."
